rank,title,heat,link
12.,美国女子抱婴儿袭警母女都被射杀,38.0万,https://tophub.today/l?e=2031pEZPpC0QpQpQYw2oIIuKf9wqtsyAZe3tBBWjZ9j%2FjwXl%2BSpM2pJbdnp%2BqfB2s0gxJEzXFyD7DZc%2Bpf039v7BALn5UaDx2Uo%2BRAE86hFJMZ%2FtreWJe5T3mdhjyFxhzEqfEbTbGCZGlI0JWZuenzjYQZQVKoyCg6hktioqkU4%2BHpUzYMEz1xP0jngSpNytFHZkT2LFTyUze9albQh%2FqI6GURE2LnkJkjcEQeGoV0mtgxFo38XVZ7c26J59riqMoYU4Ynd4JV%2FmBEMNfqiyZUWo0j7fH6UmkTkKfiCu2gTmfVZI9U3BKFL0q9Auc5pVnzbYja0Peo%2Fv9Vqgknozch2%2FfwQpvAZHIOORYOt6U8S8V1UD9Fi1pD4y%2Fm6Cp5oMHXkz5Ic81%2BtimQ%2BUot85Zqjk7QNbTgX7a9exdfL0wPeTuYLTOCk4
13.,黄雅琼回应郑思维退出国际赛场,36.7万,https://tophub.today/l?e=60ebviMgPdq1boJtPsuh68t7BuTR9RikIb%2FlI31UMW7DXQOeEf0CSnkTFAsvRAoJ9Ss77Ap36SU%2BL2WiTc2dNMMnCvRd1gU9SFDxYQ0VK%2FRM7ImavQXWbFVsw%2Fwe1DCD5evN46oBDpMSEB8YchdLtC5xFULktWoJf%2F%2F4t%2Fqi28latlp148yX%2BRVhlWGHF1pUUP%2Fw7pURuJQAHV5rASdJ4xqh2Pky717L5VJZ06GnaW2ZsbnBoaWT2qGanN2KFCe%2BudBr6%2Bijz9VbzSofscBh3qyWrXDk0GnoobVuI6D2MCfwhxPmkvL0R0KLTkfBcb56oWJtXsFLJ%2Bz1IlpxYfvgWCKis0TYiahKVyYIK%2B2dwJFeJCwn36W0T2Gt6W%2Bjfu7l21HGIPmq8ouGzlxzxf0qb6Jv0T3ZMCm2
14.,再见爱人4第七期视频没了,综艺 361721,https://tophub.today/l?e=07e590cqBz4CfFvJGH5aE3qzUNW47pjKjgGGdOgVbOqtszOemLl3EFBHczEVHY3tGZkje2AlK4rKF3V5R7nlwuOqmTRaVvahz6a223tRNJv4eQeK1r7f%2FLhMRHrLEswntWWsrSbS%2BTY8WiyBV%2Fwpl11yHfJ2bpIXr062luJoVqFs0d0FF%2BD%2FEvGYKUSC0Wuup9R3EIQnb1qna02zoOUWgNKUNDt9jRu9WeBFiqm47Tv8MNRn6N9dAobk%2BMOP1BTRxeystWgdrfDjolN3fwxDODEW8pdDqH%2FGSTwwEk%2FelVlANs4SSV09U1qvt5DzrN00MrT3cemWo3qf%2Bxd6gVcuCJ9W3OPUksCQobW9pA
15.,王源头像P了个新帽子,33.9万,https://tophub.today/l?e=106f7T2CY%2BNb%2FCiU4o5fmYrcQ0SlrIHXQC%2BtEqOBZbtnzmN9ZFBMkyYT%2FY8DKL%2FXfvRfSeBkch2GgN9oeL%2BUFrYansgE9wgnAXh1nE%2BDjxlg9cdwzDc16oAzullFJ2hWk4A9yRUeqSTk%2BghFpQndc0%2FfruhbI0eBJzLcSH3l7Zmw3mEEhWKPmOx1iN9IRmIzZ0DbPP6zhxZaJZlxfWtlqk6GCblJ1iFFt6HrTuBh4ZgjiuoVUR5ESe56kydS7Taj7ygQwEHp4AkGwV4dlYERmHdv5osrK5Q%2BpZTsEiiRSz1OLsJaPcCTgTLhr01lnw
16.,韩国人的精致穷,30.9万,https://tophub.today/l?e=0acbw5jn1k8wsVa6JX3F%2BFapAFIPshSQ2zIuDcDAfmHX6U%2FFiVIrrmw2r9lZJ8gF8QkUqh6%2B977DtaiS%2FcReS8WFx6tbkf8hbA5VpTP4QFih%2Fby2xKb%2FTjSrsYSzolDYyst8A5Jc954R2JxIyKqICvmlqquGd0%2BtiJQ0rE1BdqPWeEMaTlwI6rAf1OYo5Qy7RpnemmnUV8fJaadvbFq74TKs%2FPKJndqWmqUdxTQWfTB9wp7JD4FpW4rVImD%2BPqOovuewRKqewJkv%2BnzpFm6e
17.,3人1分钟抢劫金店价值千万财物,27.9万,https://tophub.today/l?e=cfdaClX%2Fnhj8Bydz6nDaLrGKUZ3tmppD7Wu4%2FJH8xS7vCntQLVF3%2BSRx2ZMKtBKTowrLtOs43ZxVPzs4HXQ%2F2C10Po71LDYFbcGOQWLazwrfseAjjJJOVZn1sq5OUZIqyLc2RfnqCaUiAEqZQpZ0VUoP5SwOxqX7w0gj3p0LtVQPCIEfUZw5Itjf5p4tuuiOBTfklM4RKrPp7%2B%2F7WdQCs8tdjcz0gwVR0TKgqMW%2Bf47bVZ8lai5G2tn8Hr%2BBLPZdm2%2BvG7ZLDMF4d5E54Lqzlv6IFUq0iX5kljtenjhPg1pfK3wvUAd%2B%2FmR4ivhwmJzjuFguBDf5KORK4kwGCU5%2F5s4ybxBMY8VzWCB7%2FSqtDoA2iDfTFRLoK1pEGWoMkjTX%2BEw7RcsjX4ZAncY
18.,孙艺珍为2岁儿子庆生,26.0万,https://tophub.today/l?e=840967%2BSBbbdQtpgbPfeeUUENewRsH0ee5UfhvpsQgpt%2FBWk2E3SkDgo3%2BLKijT%2BZa3OJWXtk8hUl5bPvVPitP3jTd1p6JGcPko%2BLIXmYkNphNlt0ggOtNYfmKHyc8u0sD13CRNHbn0Qh2c3fTQLaXNkbXQjKHT1USrJ1J7pdlF4ZE8uulxW4kMESyb207o%2FeOfmBI%2FES6WT%2FnVpTY93UVbjp5GGgRyBYamkn50YiCLuRCFhLp3kE%2F%2FQ0m9SdgwfEmkpqpGAl44J9YpH%2Ft8PSl73VbhMr8ClvqMnd6wRE0BhTusZbHNmH0qUMwyqzQ
19.,胖东来调改永辉超市25天改了啥,25.0万,https://tophub.today/l?e=305bFQ9A%2Bny4tMwtiLIaXmAHe7MZ%2BuP5cL3OyZoPYp%2FHf3Ah9BiOMPxn6Uap3C1qOe7XLRLewa34ZFjifd7V7w611Z9%2F8wpcpMk9Y18iOTg%2BKNUwXnj04%2FNjApJidtPuaeP1lffdeFi7acsrYW7rvPcLhlgcaoyZYoYLpIztWVA2Dv8jbZdE%2BWlGEPVSxSOdazkVrItHErePwLaywSNUw77NnQWYIYrNN%2Ftk1IYkHvX6cicZy44ByoaAwSkFBazy%2BdUsUY5y%2BEbixiPLtK4ucQiauBEiEMLzJNEkKwC2fcf%2FN5idL1itpQy6tGZ4NC%2FJ1wmQKwO1II6F6ZP%2FpG198EAdki%2FI5DEsuCCx%2BgSV6G4NzUMWf4p4lDvtU1MmhNUzy%2BQyHtX0lY4eO0c
20.,王楠女儿落选国乒少年集训队,25.0万,https://tophub.today/l?e=f18dFMcqBhcdipBmn6p5K8Y94wEFdVoEMrgoHj2QDWctDM%2BSmB6HTSnwYNG%2B0MxZMpRH4YLfqNu20r%2Bd%2BebBbDAjlGbml%2BrN03rj0klCEnJrDb9QiSItePVPqlBT5y7OgayXhfYIzA4yM5fVLHPamZvEzFuyEQ4H4pxGZBNTrUcYEUl%2FaqmSWMNonP8MiD3X%2FI9q0TNaUkVDz5sPOXj728rQoEkw4hiLwVFCQm6nhEyO8H8x0KPFX9quZGLGUwgdO12hZx8rdLVNHSwwo3dCBNZNkvvcRoHW3tiWqM0zIMUyt6kU9B3G80HZh%2F4%2FAIz9PNLN66C6rVRi1R3E4sZU%2B3rv1S86RASMKwYO2s6%2BpxLelB6sRrwaIudY676%2B8mnVyS3TjEZERpQ%2F
21.,外籍男子人体藏毒123粒被海关查获,22.5万,https://tophub.today/l?e=5757mxQzpich4FzhDYR2j%2BpGenU7iSSEQBfae4im1HTFNjHgyJlOGCtvPQJgK5omz5yVkI%2FMOexHc8dnvX72%2BDQsPsdss3zIQB8UUqrAaCMFCDPqu00ymIisohXJRhK9iCTthWFmORbvHXHaXUDzbs%2FRNQ%2Fi%2FDPPgn2K%2Be7wnuAEVLnrmwwqHCU535DnzApRX6y6m47MO9CPtJagNR53PV%2BnQ0y6Cv0zj2lZ2liTVS1aVtbIjL1oKzJdibTBoDJdpIgIBDwHwavnx34bMaGH64WA%2FltjcoKN6TxSf7OQLWRtdW54FsuQJYSmio1%2FH8MsBkDNOeDeeYUaty3etXyaaE%2B9udUeeArJmu%2BTGTPmsS%2FoR5ZsF%2BjzvfxCWV5Ss11MuiR8QYaSqUbUk7PE0SQYFqdhfwX3vvSg9BW8
22.,唐嫣灰紫发色,21.4万,https://tophub.today/l?e=97a1BCCZF9F%2BkGtOhlFqc6TyrnqILZqqCyHQ0OKxG8m8S%2FievcKp%2BkdXh5lGW1K2TfFBe%2B4ZJ6NTSQNnR9LDfK82V%2BB9NezAzH1B7MDYj22xdYklWxQ99y3HFTXNyQnB1vIG7%2FP1Z3uLZ3Co%2FwZEsz%2BC4GJnp8a4pqfZvVSucPs48G6sHCkuZkNt91eKZUQhjQx6YzAyadSBUekRDkCcS8Tq8CxoCionYsF7iFcSfUe8rBffOrt%2FtysiT6qq0xmU
23.,林一长沙活动取消,21.3万,https://tophub.today/l?e=7233hcEDBGYWEWn3mXVs5tX%2BTS4EF%2FkQr7c1YhVJt6ctMYbA1L6UJeclqihPQpnQ9JiE%2B3paFxr%2F6qCRXMtjGdqgqrTFFH0DNieGqDlaMq3UHIjA%2Fb1aLaGN%2F6nfn3BS4FaRZZ1pkavKuhhNoTCxOaS9yOD3MQC4CfJfHtH6%2BUp8iRsXWfXEJuFSeGI4n6EoN2O%2BrGI70p1NSFCrP6XGa2dqFIXZXDiCORrGRQ3uVIDGR6UgABSTMOEpq3alo0oNNinmtZL4%2FoGGtk431eS4AedIKX6lLsiKXEJZeaT2
24.,丁禹兮看人深情是因为六百度近视,综艺 209505,https://tophub.today/l?e=d1fe0eNp3OdcPUiErfk%2BWFv6g7TyUtYcA4SJvcF5c518eaNEgEXFflwTDjsvoOGhwCNxABptYuG0d0SCxAlHULO5roSqUiPyMk0O6JNedQ4DbbP9htJoVzUkwGXCDqR2tF%2BNLSqsxXNtt%2FAtpbrgHzWkOwz%2FXgJtIwRGHTfbvEgadhdTxexO%2FE7a2%2B1wyl5WFpKUx8xz1lSRn9BG%2FM2GCogsUliO67icBVqq5DVc%2FIEeoWurm7ogv7YR9dHX%2FGGx4LdNe3ZqIz%2BFaqbmoI6DEOGDiQFNd2ZG328DFUX4ijvGKZrvXf5Q5fWRVqGNMoNjYJmw1GF2HMnrcMmn9z9jIpp5F%2BGTjnv2iLcaT%2Fmg9kqovwmxWQLESaR2Kje8Xi0vsOPoKRMO5o5FQhEwHNjvyuNPUjhlMQKD93kj73JYquY%2BAq1wAU8v
25.,TES官宣Meiko离队,19.9万,https://tophub.today/l?e=a5438TMTKs31a3%2FsbrtGR5FUIMzJ69C%2F1gpps0q9vNoHCi8qfNnMNbdKfkwimyn84tR%2Bg3KGXru8ryid0J5NJyD%2BwqPQmoZqr11kT%2Bifv97xYe7ZJjbnysiz3pIYqIxyjFdjZt7P6Lrjk96TvfYmiJwNe6zsBAhWsbOKVvq1kgDLtbGe0l4WC2XZl3CMREHnjh%2FAbJe%2FrL%2BisPxvQMb3JO%2B%2B1k9p5wir8QQ
26.,派出所回应山东一金店被抢,19.1万,https://tophub.today/l?e=ced4i257FjC2cwlDRjpYLUNIhxDBTewxRj91p9PKB21dfljZxwHUyWV6DEkHskp9VnRignRohyaXsKZci%2FxX5%2FwUKDBosYHd1gwyQQPqSVwMEqk0b6dnTg0caw5y1x21UJOeepxT4l5v5SfLHFawvzE4ynjAyix6GkhXBqaOfouZzoyLCNXAW%2Bs%2BRlICikqAdmY6JJruynS3HudCd0rhh8ZUAg9Jy%2BDjBGDLOxS30%2FMbYk26ApSDuoWvawZe2ZlnjGCsWTMc0LFzmQZ%2FU%2BbQVYL9M%2Ffrs%2Bg1hj5hAMaSwQnRYaHMk6VmsnWdDQu1rJ4A9WHKGu2V%2BqPV2txd92eFx8nu%2Bq6%2FS1n8Ilp2CCN20h3qRPtmID0LvN3j
27.,崩坏星穹铁道,19.0万,https://tophub.today/l?e=36b89xweb114%2BoACHqVs1ZRvQzTK7seVs50VHpeiBZzUZRMYcVYKfVDHRXzW2gvUmsbnTgBk17f95CMzUX5BcL6n4BAZYfO%2B4gKY0i7ktV90IQDNm7d%2FnKV6kKbx4a%2F7yhNLj9iakH2nzdfZuf5CTznadLDrtLBRue%2FBx61C8ZeNzbpPC%2FDuTtkifH3AD5F3XDRiNctnNttkg08vR6%2FKkUEKIxvgJr66%2BztKlqHdHzExFySK%2Fq9GKckZve6VxrcN
28.,古巨基钻石败犬live首秀,演出 189465,https://tophub.today/l?e=9ca6ra756JqNafvPxaS2G3%2FxOm3fpnxzjkFQJV%2FsMLZkwgxRpkOl0ue4nZ2Qtf6PfQNzjkwr3vX889H0mG%2FslvVp84AKqZgGaX1cbIFpd6lHzpacn9yp5OuKUV1aDQhuJuIP2sC3BGowOtNaQeIHMsUxvrFb1%2Fy5hcCNgvKjTXK%2Fn4QbYQMu7qnfJz0Evc18raDXpU0NxZc3AaYgv4q8HScC4UDoKQ%2FAATPow4LchHI%2FnlTRC0%2BqrIXketH%2Bwa4oauF70PWH%2BvYegmL%2BlvCdjrIi5GVlAMXFgMVJJZl%2FRoHrNTr9X2I4daLe2FDHRy9YoQ
29.,老人吃腌萝卜后中毒整个人紫了,18.9万,https://tophub.today/l?e=fd50803ce2Wnxzc9S5XSsycEIaFYyM6qx2wHdAIVg%2Fbw%2FB0jyPWq8zQeb%2FEmogkVLF%2BM7tza05Ix%2BHERm%2Bj0i9os0hNg8wVO70vtzXcy0mEfVcshk96J314Cg6L2PFvAZLt2kdnrYCJCh36EEmfInFUJLQdS1%2B0MBPzhYXyWq%2FXqBI7m78ndvFerOCwiJ1kxHFCbkyCHrt86DRAAk%2Bu5gshbA4rIM6Mbv26Nwj%2BoxtUjq0lzS4ClXB6%2FMmG1YFX002o%2Fy70HdJGA9msxYM24j2l0CHJWYPXSIiUzqlFSUQAJKXeR%2F81CkPfajPnP5%2F6WWkqnKdzYm5wha9QoyEY2%2FIEcde4wERhs3HPyXaFfAyZu2%2F1YuK7Hq0od0U1vYFJ8NNrVopIZQ4f1x1c%2FVQGUo2a11ByEKz2i
30.,年轻人买的水果半数是情感商品,18.8万,https://tophub.today/l?e=07e9KqRlk4s51ZJikAbcLSrFKZYRwXpK05p9Dtk%2F%2Fdpqua01%2FCk5y6wmd16AHumTVJkU7VENEf0I21qHulZfxWbvkz7n6RHG3b92JVDDdQYWpGItU51loeT3kDuaaX3b1q%2FzkM01rWEfhzm8NFBpKCMHYXTGaPu3UvkkGIFNC7lFzcsmzDXzh9QmwLIY6WZmThnZcwd3iygrC9xZx5vKAFuKjgjIu6UAL%2BNUY4NppZTi6kKAAw5bcWQzwUkOq8UG5O%2BHBAL5qleXhRo9XzNM4PEnCZXbarAwEARlR70Jv86ld9%2FVvBIGDZH%2FYBXUq11y2HBArVL3bKxUobq4A7ck6JwEZSTTPUNbCahYw7kULcRCkbNeRDW1vz6Ty92olb54LuBQAmE4KpJp%2BwxvgPaiPbLnwrn89H2E
31.,张杰唐嫣荧幕合作,18.5万,https://tophub.today/l?e=b005St3Qcl3IL86sfH8Ecs2ptW8xOi0pgjdw5daehDxjxtu3osg4cxvhsBOQpWjbNR6%2Bjl%2BvfGKsBMQnSvSBWfE3datcddE3FLZeprHIXfFDzktIjr6lq4F14%2BYmvnCG%2BiAtO2eiLo2pLc7wninX6CTg2iUr2dQu7TKYegmadpEXD6VROyxaDqe5Y1UrNesgl4ZHm5Vrp6jLLd0J1Ey6NYLXb8S73nGJn3cvKMjh5Bx6HCrVf5ylniVQkoFNoE38p79ACcRP1ziRcpftOxiBmD7mnVUC89urE5ZGnf9J
32.,王海质疑李行亮麦琳争议为剧本,18.1万,https://tophub.today/l?e=2947kBYnKQ9PrkTFKQ1ojiikxre3pRE4KpitJRNInmsYSVMgw%2BBgQkrgtbzNt0lFwBMDL5oftBsTyqTiqKclom%2B5Vwxdh9VAuzxUojwRFZAw1GBrTFWXQtozTRCYNvlQJOvF5yCl5jGlCOgwRq4TQ%2B2nv1O6I4oFzKVBb%2BH6lS1Qci8tKI%2FHD%2BuND3a2YgNsh1sKo%2FdcoacZXvklpPS8FSugPmTcxKrJxEgJpJe334MPNx%2Bkk8ia%2F50%2FzAp%2Fo3sAl3r8JFL%2BmtzJyg75uEv%2B7o%2BQqMPulnrdKzwExWe8PmCfP8JJpiUoTlUtGAbOJFzI%2FnItxR%2FOfHwOJ3s5IfrENvs0Xps5UdEotoJ0a3krOndWUYCTVP2A7gM4rxJmq6WroXPW7k4q%2BzCEqNNSOPMynEuIs2LhWvaW
33.,老师向家长借60多万买房还钱困难,17.4万,https://tophub.today/l?e=a1ebiDVlEtYmeRvvd1z61D5ZqvzJuki3lQVS0HAaO7FOo%2BBu7Qb1MipgkoC0uYtKzBXqh6UE2HaVh%2Fc4PAzlJjBvTo%2B70w6RksLRFnB6rjYFkj8TRKjTjq42YxSWsJIdaRJOZO6Q6WEZva6VSrz2NuQYJ1QMkLPQ65jtAORm0wlXRKZK5kcl0z35xzCesXGeyJdALen%2Foh3TTg78CnGxZJ1DBwMdRzFnGvoM37pWp%2FtAmlz1Wr1dSzGJV0n%2BvvcwR7QNGJvtoW1yLY%2BDlE8XqT8IqkFt%2BURPuNd%2B38FaR8ocKnM07XfwlaYTUz8FXLIkqZFIxlx67ETzHZXiXOd%2FCrqFCRmPkSsIM5UOoRC4cChN9t0E9iPqZl22yB9PtEbDieXnOrts%2BgXaKXyKeE9xYQ97qdOr2%2Bs1Iv4
34.,南宁一家长称15岁女儿孕期被砍伤,16.5万,https://tophub.today/l?e=47a9MQPUA7YAXu7%2FYfhbixxyyv%2FnAF6DTw4WRc4o7lknrmWDhF%2F0R39WedsVIJ2t9vv1hm25z3yu62tZkhvZLpNZIFA25gxhoLZZxvDbQViSIZ0F%2BNdOUPt7hfuP6rl0voutN5tfEPJ4cWf4V2SkfAldKKQ%2FA5CF2I8kx2dqi2yJuJ9MV4Az4KeT73mlROKsuKcT%2FV2PR8i5pkONzo3VflBUYBRrLJ8K3Y4XY7Nx3mvMDeYru%2BLKWnljAYFr3EZQYw%2FIILMz83KjczT959OZZs6geuyj5RcKr%2Fmd%2FTdaSA2kCRTUCZT7OOKUyTuhnHHtf3UBkY1okIxMSOy9hWF46fKd%2BHkD1C6hCBOu5YiloAGtnd4BgdTAhLHreUa2Yj00REH%2B8QRI%2BMe%2Fa7yDyb9TUchfQjYfRy7P4AI
35.,珠海户籍居民可一周去一次澳门,15.7万,https://tophub.today/l?e=1a1fKlPeL1mxVIjvCMiWNNnJZynEJwl%2FYr4EKkx2tbLes9ZRbDKGgmrKTUJvvq1PBGHkcQLa%2F48cV5LYgPx9U2TET3EGaZhkkQTRgKcZdd2iaIVN6cYaJ%2FpLjf4BmUhwCTajJiSJqVWmDyIY%2BRadUkdj5kq46Ah%2BXdWaZIm7dMPRfg%2FaYlvP9LvxC%2F4XW57jWF9T7msr7z0Mc2POr1oWh4eooQNh46J6wqU502E8MZHHpkKKhKtOzNKnlvx0nE%2Fwm9uEILSkFp7vYoIx0JLYhedFmOjIFkw0jdaVKLWGGPmQuk62LSuJMII8ELKRJkSJzow%2FEEiWpSNCyuJsK779lqO%2BKYB3HIKsRwOgZ4idjjjrohIVVP%2B%2F2CpLbA0Nv7Itct3HHAqfTGbMkehCbMgJcEP3LPHbxf3R
36.,林一霸王茶姬活动,15.6万,https://tophub.today/l?e=4830tcIZZBVqgkj2WXwThQD5IGmK%2Fs3eyZjXi8cj5qBTEk26jaEirbpyRHqsk3wlcVBeE61h6bqr2jbt0jhbHpHuT8Rw80khJ%2Fg7XI6TskHuL%2B9SUDB%2B6%2FSbcnhvyVb%2BEwVOi4%2FVkO3ZUbq0Z7vaOQkrusdiQh6D8dk%2Bpfe0tmrEAQXPCW1wPxZ5iVH7lqaCdC0%2FOC%2Fsx9lJSReNbyzTZj4HuljBCEi8ImOYdjCnt9zjlaGHtVubPDVzr03nEQ3Df5dZzb51%2BTUK9aL%2BMWhKsIYiS9LszeIqRwWwM3NZ
